,k_value,n_params,train_time,baseline_accuracy,noise_0.05,noise_0.1,noise_0.2,noise_0.3,shapley_stability,order2_stability,order3_stability,order4_stability,order5_stability,order6_stability,order7_stability,order8_stability,order9_stability
1,1,10,0.026653289794921875,0.6866280399481589,,,,,0.99992634664633,,,,,,,,
2,2,46,0.11377739906311035,0.689525043836243,,,,,0.9946158586794936,0.9034359518618762,,,,,,,
3,3,130,0.4281165599822998,0.6937561942517344,,,,,0.989624078431214,0.9161822115649726,0.9444962014814736,,,,,,
4,4,256,1.4831430912017822,0.6943660898071206,,,,,0.982407587331716,0.9074248721509177,0.9268142859840991,0.9436620899124457,,,,,
5,5,382,4.010499715805054,0.6948235114736602,,,,,0.9695234668143494,0.88931101955257,0.9162431264435155,0.9202564927173051,0.9477353748413514,,,,
6,6,466,7.8164191246032715,0.6948616299458718,,,,,0.9733403355816269,0.8825787139661629,0.9194645124425254,0.9358765323223434,0.9414112798839034,0.9670852716459515,,,
7,7,502,11.257914781570435,0.69505222230693,,,,,0.9755539209196424,0.8921162671626701,0.9219947453318007,0.9400574587200391,0.9469096456749003,0.9631084098626463,0.9335122683598487,,
8,8,511,13.25482988357544,0.69505222230693,,,,,0.9781828814089026,0.8897571115709711,0.9231793802635884,0.9349070615723241,0.9449201586457132,0.9659186984123012,0.9338289949326362,0.9647791176237233,
9,9,512,13.699222564697266,0.69505222230693,,,,,0.9776666505295654,0.8952718277498531,0.9244771236337705,0.9384843443945147,0.9461391927181956,0.9632911988401219,0.9392804878759614,0.961379754371032,
