noise_level,phi_correlation,order2_correlation
0.05,0.9984328271513849,0.9991516479027766
0.05,0.9989872867144203,0.9990632979165662
0.05,0.9977749874739963,0.9991922085232603
0.05,0.9989297066249377,0.9992724437147082
0.05,0.9987368667583528,0.999337454955492
0.05,0.9988885667933977,0.9992728635109612
0.05,0.9985609867732235,0.999076973404061
0.05,0.9983197985476336,0.9991199403153317
0.05,0.998661541522127,0.9993067565149047
0.05,0.9981110421393231,0.9991877052466279
0.1,0.9966130308297211,0.9967102846540988
0.1,0.9945073159591044,0.9957567936041625
0.1,0.9950745522329105,0.9971778910620417
0.1,0.9926904693360142,0.9957022018560125
0.1,0.9928300233859058,0.9965669324764893
0.1,0.9934075505724913,0.9971626953236922
0.1,0.994476545130092,0.9968305997678114
0.1,0.9925490037701694,0.996232155856008
0.1,0.9928334637216861,0.997036626050784
0.1,0.9977067085615828,0.9973963540107658
0.2,0.9752616099981027,0.9866164481801752
0.2,0.9774960209981223,0.9882066238155731
0.2,0.9855395188804531,0.9891274907144844
0.2,0.9899367603441553,0.9865020780021087
0.2,0.9804783158338974,0.9901870894136426
0.2,0.9935103605753812,0.9893858179898104
0.2,0.9843544640698033,0.9889392686301834
0.2,0.9658675582336574,0.9867313913869968
0.2,0.9751597881115914,0.9864537814807386
0.2,0.9768637106670046,0.9903471623676925
0.3,0.9663975702675154,0.9770968683399125
0.3,0.9493095888862514,0.9700717185097266
0.3,0.9118639378335378,0.9756867344967278
0.3,0.9721412862274198,0.9775934517745282
0.3,0.9579745593639911,0.9823991644168067
0.3,0.9384240882548406,0.9720631617919765
0.3,0.9596459729729317,0.9741793721799051
0.3,0.9492397918955666,0.9716907191794139
0.3,0.9550741776394642,0.9760249414136705
0.3,0.9000504991925659,0.9649577317864477
