dataset,n_attr,best_k_accuracy,max_accuracy,best_k_noise,noise_robustness
dados_covid_sbpo_atual,9,5,0.6947091560570252,2,0.6871998170313334
banknotes,5,1,1.0,1,0.999562363238512
transfusion,4,2,0.7280701754385965,2,0.7128654970760233
mammographic,4,2,0.8171206225680934,4,0.8140077821011673
raisin,7,1,0.8592592592592593,1,0.7844444444444445
rice,7,4,0.9258409785932722,7,0.8611620795107033
diabetes,8,4,0.7866666666666666,5,0.744
skin,4,1,1.0,1,0.9996000652254139
pure_pairwise_interaction,15,3,0.7966666666666666,2,0.7493333333333333
triplet_interaction,15,4,0.5766666666666667,3,0.5846666666666667
