,k_value,n_params,train_time,baseline_accuracy,noise_0.1,noise_0.2,noise_0.3,noise_0.1_std,noise_0.2_std,noise_0.3_std,bootstrap_mean,bootstrap_std
1,1,16,0.0019986629486083984,0.49333333333333335,0.48533333333333334,0.488,0.48533333333333334,0.00618241233033047,0.009568466729604881,0.008844332774281071,0.4903333333333334,0.03282360261898271
2,2,121,0.3395669460296631,0.78,0.772,0.7446666666666667,0.7346666666666667,0.0033993463423951553,0.009092121131323924,0.030228757463345676,0.7844999999999999,0.025125241845159966
3,3,576,1.516798973083496,0.7566666666666667,0.7646666666666666,0.752,0.7433333333333334,0.007180219742845986,0.022568414506414326,0.015634719199411434,0.7540833333333333,0.025826477584921338
4,4,1941,5.285712003707886,0.7666666666666667,0.7586666666666667,0.7513333333333334,0.744,0.010666666666666687,0.01146976702272353,0.014204850501775014,0.7655000000000001,0.023304148414677872
5,5,4944,13.89001202583313,0.7466666666666667,0.734,0.7473333333333334,0.7353333333333334,0.009043106644167017,0.014817407180595257,0.020720360357226728,0.7489999999999999,0.028401388854929068
6,6,9949,28.801799774169922,0.7266666666666667,0.742,0.7273333333333333,0.732,0.013759844960366871,0.023701851779508253,0.02156128217172832,0.7255000000000001,0.02698559286401213
7,7,16384,50.227696895599365,0.7333333333333333,0.7433333333333333,0.7300000000000001,0.7093333333333334,0.005577733510227154,0.010327955589886426,0.01103529690483127,0.7376666666666668,0.026783079235467556
8,8,22819,96.12259006500244,0.7333333333333333,0.734,0.7186666666666668,0.7086666666666667,0.014204850501775012,0.013759844960366847,0.013097921802925678,0.7395833333333333,0.029770534463160418
9,9,27824,128.03681421279907,0.7333333333333333,0.7253333333333334,0.7246666666666667,0.708,0.006863753427324636,0.012578641509408803,0.01045625809423876,0.73875,0.028127314719562785
10,10,30827,166.84639072418213,0.7333333333333333,0.7326666666666666,0.7166666666666668,0.708,0.012543258481484541,0.005962847939999478,0.018690461025168238,0.7381666666666666,0.023144473782453268
11,11,32192,141.3426492214203,0.73,0.7313333333333334,0.7200000000000001,0.708,0.010022197585581915,0.011737877907772636,0.01892675942210451,0.7303333333333335,0.02449546443278383
12,12,32647,151.71685409545898,0.7333333333333333,0.7153333333333334,0.7086666666666666,0.7006666666666668,0.012927146286443519,0.013097921802925678,0.020044395171163888,0.7325833333333334,0.02581571980187439
13,13,32752,202.84873342514038,0.73,0.7313333333333334,0.7053333333333333,0.6966666666666667,0.01309792180292566,0.010022197585581955,0.009189365834726817,0.7318333333333332,0.028428272312377094
14,14,32767,175.4060664176941,0.73,0.7366666666666667,0.7186666666666668,0.7006666666666667,0.016465452046971307,0.009333333333333345,0.014966629547095744,0.7239166666666667,0.024264314217476754
15,15,32768,158.585303068161,0.73,0.7220000000000001,0.7206666666666667,0.7086666666666667,0.008589399151150107,0.009977753031397162,0.02840970100355004,0.7222499999999998,0.030614198775513742
