,k_value,n_params,train_time,baseline_accuracy,noise_0.05,noise_0.1,noise_0.2,noise_0.3
1,1,16,0.01573634147644043,0.5233333333333333,0.5186666666666666,0.5173333333333333,0.5206666666666667,0.5233333333333332
2,2,121,0.0631864070892334,0.49666666666666665,0.4833333333333333,0.49333333333333335,0.4986666666666667,0.4966666666666667
3,3,576,1.516632080078125,0.6166666666666667,0.6093333333333334,0.5986666666666667,0.5953333333333333,0.5933333333333334
4,4,1941,5.289466857910156,0.5966666666666667,0.5866666666666667,0.5726666666666667,0.5926666666666666,0.584
5,5,4944,13.585604667663574,0.5633333333333334,0.5706666666666667,0.5780000000000001,0.5566666666666666,0.5733333333333335
6,6,9949,29.013097286224365,0.5566666666666666,0.564,0.5713333333333332,0.5846666666666667,0.576
7,7,16384,50.304274797439575,0.5466666666666666,0.5466666666666666,0.5613333333333334,0.5613333333333335,0.5539999999999999
8,8,22819,77.11645174026489,0.55,0.5533333333333333,0.552,0.5660000000000001,0.5766666666666667
9,9,27824,102.36640000343323,0.5466666666666666,0.5466666666666666,0.5513333333333332,0.5513333333333333,0.5653333333333334
10,10,30827,127.41930842399597,0.54,0.5446666666666666,0.5546666666666666,0.564,0.5493333333333335
11,11,32192,144.69303798675537,0.5466666666666666,0.5373333333333333,0.5566666666666666,0.5553333333333332,0.5606666666666666
12,12,32647,156.36572170257568,0.5466666666666666,0.5473333333333332,0.5593333333333333,0.5439999999999999,0.5593333333333333
13,13,32752,161.92721319198608,0.5466666666666666,0.542,0.5606666666666668,0.5653333333333334,0.5633333333333334
14,14,32767,162.79720258712769,0.5466666666666666,0.5446666666666667,0.5553333333333332,0.5506666666666666,0.5746666666666667
15,15,32768,163.98840928077698,0.5466666666666666,0.5413333333333333,0.5573333333333333,0.5606666666666666,0.572
