dataset,k_value,n_params,train_time,baseline_accuracy,shapley_stability
dados_covid_sbpo_atual,1,10,0.026653289794921875,0.6866280399481589,0.99992634664633
dados_covid_sbpo_atual,2,46,0.11377739906311035,0.689525043836243,0.9946158586794936
dados_covid_sbpo_atual,3,130,0.4281165599822998,0.6937561942517344,0.989624078431214
dados_covid_sbpo_atual,4,256,1.4831430912017822,0.6943660898071206,0.982407587331716
dados_covid_sbpo_atual,5,382,4.010499715805054,0.6948235114736602,0.9695234668143494
dados_covid_sbpo_atual,6,466,7.8164191246032715,0.6948616299458718,0.9733403355816269
dados_covid_sbpo_atual,7,502,11.257914781570435,0.69505222230693,0.9755539209196424
dados_covid_sbpo_atual,8,511,13.25482988357544,0.69505222230693,0.9781828814089026
dados_covid_sbpo_atual,9,512,13.699222564697266,0.69505222230693,0.9776666505295654
banknotes,1,6,0.0019974708557128906,1.0,0.9997228962801921
banknotes,2,16,0.0023021697998046875,1.0,0.9995815028291739
banknotes,3,26,0.0019998550415039062,1.0,0.9996521956786192
banknotes,4,31,0.0030035972595214844,1.0,0.9996547311186221
banknotes,5,32,0.00363922119140625,1.0,0.9995964163273858
transfusion,1,5,0.0010445117950439453,0.7076023391812866,0.9981341312579085
transfusion,2,11,0.0010056495666503906,0.7105263157894737,0.9953491222126961
transfusion,3,15,0.002000570297241211,0.7076023391812866,0.9969389195483054
transfusion,4,16,0.001998424530029297,0.7076023391812866,0.9966651540466438
mammographic,1,5,0.0009987354278564453,0.7937743190661478,0.9981467861090866
mammographic,2,11,0.002000570297241211,0.8093385214007782,0.997147204934768
mammographic,3,15,0.0021109580993652344,0.8093385214007782,0.9985417164509605
mammographic,4,16,0.0010461807250976562,0.8093385214007782,0.9970643050865667
raisin,1,8,0.001004934310913086,0.8592592592592593,0.9959041217173943
raisin,2,29,0.0020024776458740234,0.8703703703703703,0.9794028825099497
raisin,3,64,0.0029985904693603516,0.8629629629629629,0.9587211361084268
raisin,4,99,0.005002737045288086,0.8666666666666667,0.9534342593030591
raisin,5,120,0.009685754776000977,0.8629629629629629,0.9633767016015287
raisin,6,127,0.00900125503540039,0.8629629629629629,0.949937370273883
raisin,7,128,0.011430740356445312,0.8629629629629629,0.9566089363257367
rice,1,8,0.003000020980834961,0.9250764525993884,0.992942665724408
rice,2,29,0.005767822265625,0.9250764525993884,0.9919580473071319
rice,3,64,0.01099848747253418,0.922782874617737,0.9905262943806744
rice,4,99,0.01622319221496582,0.922782874617737,0.98951820980129
rice,5,120,0.023319482803344727,0.9220183486238532,0.990947972509736
rice,6,127,0.027679920196533203,0.922782874617737,0.9914163861685792
rice,7,128,0.029002666473388672,0.922782874617737,0.9913211780919358
diabetes,1,9,0.0019998550415039062,0.76,0.9984492100152944
diabetes,2,37,0.002000093460083008,0.76,0.994252785039816
diabetes,3,93,0.0042378902435302734,0.7566666666666667,0.995296287081757
diabetes,4,163,0.007998943328857422,0.7666666666666667,0.9923135791348856
diabetes,5,219,0.017000436782836914,0.7633333333333333,0.9928016083131863
diabetes,6,247,0.025396108627319336,0.7633333333333333,0.9944377940132206
diabetes,7,255,0.030004501342773438,0.7633333333333333,0.9933904767262345
diabetes,8,256,0.03209805488586426,0.7633333333333333,0.9938717761119875
skin,1,5,0.19513225555419922,1.0,0.9997644559681143
skin,2,11,0.2716965675354004,1.0,0.9975826031609979
skin,3,15,0.35145998001098633,1.0,0.9966416838558324
skin,4,16,0.39942002296447754,1.0,0.9963291543044585
