noise_level,phi_correlation,order2_correlation,order3_correlation,order4_correlation,order5_correlation,order6_correlation,order7_correlation
0.05,0.9974018850670513,,,,,,
0.05,0.9958452146141579,,,,,,
0.05,0.9984369083452819,,,,,,
0.05,0.9984880463371364,,,,,,
0.05,0.9963879612133698,,,,,,
0.05,0.9978982273361618,,,,,,
0.05,0.997055372141453,,,,,,
0.05,0.9980044179044836,,,,,,
0.05,0.9980158758216854,,,,,,
0.05,0.9984559145067735,,,,,,
0.1,0.9896095207105114,,,,,,
0.1,0.9921048076526514,,,,,,
0.1,0.9930284936811868,,,,,,
0.1,0.9929684181537328,,,,,,
0.1,0.9863859606727133,,,,,,
0.1,0.9936046508110473,,,,,,
0.1,0.993079208431035,,,,,,
0.1,0.986754049932553,,,,,,
0.1,0.9846129678497715,,,,,,
0.1,0.9942301982596433,,,,,,
0.2,0.9601761191494856,,,,,,
0.2,0.9607865113547147,,,,,,
0.2,0.9599821893282847,,,,,,
0.2,0.9640482159690456,,,,,,
0.2,0.9679395716835413,,,,,,
0.2,0.971619167820553,,,,,,
0.2,0.9558762546371391,,,,,,
0.2,0.9420427016405921,,,,,,
0.2,0.9670082022411015,,,,,,
0.2,0.9576444134273645,,,,,,
0.3,0.9049578732720462,,,,,,
0.3,0.8318382464958495,,,,,,
0.3,0.9033785680874468,,,,,,
0.3,0.9018104462591151,,,,,,
0.3,0.8237844434577614,,,,,,
0.3,0.9272013684858335,,,,,,
0.3,0.9147194760197968,,,,,,
0.3,0.9130379345883096,,,,,,
0.3,0.8904211097339806,,,,,,
0.3,0.9434437962923733,,,,,,
