,k_value,n_params,train_time,baseline_accuracy,noise_0.05,noise_0.1,noise_0.2,noise_0.3,indices_stability,interaction_stability
1,1,16,0.0014574527740478516,0.49333333333333335,,,,,0.9731853109346909,
2,2,121,0.003000497817993164,0.7466666666666667,,,,,0.9864952381199772,
3,3,576,0.029998064041137695,0.7733333333333333,,,,,0.9658602049300349,0.39999999999999997
4,4,1941,0.13175082206726074,0.7566666666666667,,,,,0.9710393631778713,0.7040636023440163
5,5,4944,0.4819362163543701,0.7666666666666667,,,,,0.9631811544118167,0.797063591697297
6,6,9949,1.5170948505401611,0.7633333333333333,,,,,0.955082890060486,0.8447788569609954
7,7,16384,5.021209716796875,0.7633333333333333,,,,,0.9674915992996627,0.9428900361301141
8,8,22819,9.232024908065796,0.77,,,,,0.9683122986300441,0.9263459306121999
9,9,27824,18.184444665908813,0.7733333333333333,,,,,0.9609230692447563,0.9339045501814274
10,10,30827,28.05250334739685,0.7766666666666666,,,,,0.9603754062195037,0.9076410066697376
11,11,32192,42.58578562736511,0.7766666666666666,,,,,0.9633478059715795,0.91092667295597
12,12,32647,41.443530321121216,0.7766666666666666,,,,,0.9629491122523613,0.9221777487529237
13,13,32752,51.759068965911865,0.7766666666666666,,,,,0.9691476590104786,0.9187939655794106
14,14,32767,43.938252687454224,0.7766666666666666,,,,,0.9628142623532934,0.9080857719130873
15,15,32768,76.10804891586304,0.7766666666666666,,,,,0.9560200826480181,0.9011327100486569
