,k_value,n_params,train_time,baseline_accuracy,noise_0.05,noise_0.1,noise_0.2,noise_0.3,shapley_stability,order2_stability,order3_stability,order4_stability,order5_stability,order6_stability,order7_stability,order8_stability,order9_stability,order10_stability,order11_stability,order12_stability,order13_stability,order14_stability,order15_stability
1,1,16,0.0030007362365722656,0.49666666666666665,,,,,0.9816101346085703,,,,,,,,,,,,,,
2,2,121,0.003167390823364258,0.71,,,,,0.9798170463561183,0.9895703710634269,,,,,,,,,,,,,
3,3,576,0.031044483184814453,0.72,,,,,0.9612798542877559,0.9882882708681574,0.9342656089796983,,,,,,,,,,,,
4,4,1941,0.18386149406433105,0.7266666666666667,,,,,0.9609487615753425,0.9877848028284769,0.9305370234231582,0.9636573913211044,,,,,,,,,,,
5,5,4944,0.7494690418243408,0.7133333333333334,,,,,0.9451895977676643,0.9876021799319223,0.925578483130842,0.9630562433388247,0.9093704272773455,,,,,,,,,,
6,6,9949,3.146491765975952,0.7166666666666667,,,,,0.9474545104223298,0.9853699750131129,0.9241281866976749,0.9603960091826568,0.9090329968682929,0.9364621709246401,,,,,,,,,
7,7,16384,7.6542932987213135,0.7133333333333334,,,,,0.9397411833550589,0.9841281338325978,0.9219515495175592,0.9590117316064138,0.9017440972461109,0.9339322377493751,0.8880490800377581,,,,,,,,
8,8,22819,15.884395122528076,0.7066666666666667,,,,,0.9428950461106858,0.9834798456801166,0.9224238173494419,0.9581612111732336,0.9012068934912707,0.9350611627288306,0.8882591842298099,0.9000229175564923,,,,,,,
9,9,27824,26.144032955169678,0.7033333333333334,,,,,0.9488073708682685,0.9843777984166944,0.9210950279038889,0.9593637353559441,0.9019654341064898,0.936349018326803,0.8898332584129416,0.9005231185173733,0.8734013236250452,,,,,,
10,10,30827,41.81431293487549,0.7033333333333334,,,,,0.9436920439926805,0.9839334183684565,0.9199747117889966,0.9575277861761042,0.8998659886790241,0.93289179909247,0.8850217697330904,0.895479317182273,0.862625949202624,0.8549587940413832,,,,,
11,11,32192,91.62265539169312,0.7033333333333334,,,,,0.9405377398048869,0.9841214002957985,0.9224199918827878,0.9586889881269802,0.9012151822683633,0.9361592415060247,0.8873599533799642,0.901393627277698,0.8696512922610782,0.8641937977682923,0.844236580779177,,,,
12,12,32647,67.33543348312378,0.7066666666666667,,,,,0.9362687945224915,0.98431969905539,0.9217143002725916,0.9584893357222632,0.8999649228475226,0.9360055582395239,0.8859840368608713,0.9034321898386524,0.8690380593393597,0.8699128623491477,0.8457102567756134,0.8486625406864098,,,
13,13,32752,71.48948955535889,0.7066666666666667,,,,,0.9436488304543503,0.983343166264676,0.9215578857701863,0.9568410418304052,0.8975554611558159,0.9324850465951767,0.8837405458647019,0.8975992712993258,0.8693947881450566,0.8600625915928582,0.8532136023162258,0.836179967820772,0.8328806620594631,,
14,14,32767,72.30935478210449,0.7066666666666667,,,,,0.9527533184339347,0.983265492752192,0.9215232132828921,0.958513327969637,0.9000026652203488,0.9371219559167623,0.8880707456381196,0.9016087034746231,0.8708475430360013,0.8578112921836707,0.8460481930937074,0.8270705793896299,0.8180350774389892,0.8143233633530869,
15,15,32768,73.33937621116638,0.7066666666666667,,,,,0.9446508189464065,0.983290826438952,0.9199919608282412,0.9581498972675465,0.8974093534131846,0.935161145921141,0.8843619591588057,0.8995478805144388,0.8675728182492958,0.8611672450034471,0.8420366211518764,0.8367275161611761,0.8075798983536744,0.8222739089358202,
